upstream_package,downstream_package,edge_type,criticality
FIN_Load_WithholdingTax,FIN_Reconcile_SubledgerToGl,data:Fact.Payment,high
ING_FILE_PartnerSales_APAC,DQ_File_Screen,data:raw.FilePartnerSales,high
ING_FILE_PartnerSales_APAC,STG_Load_PartnerSale,data:raw.FilePartnerSales,high
ING_FILE_PartnerSales_EU,DQ_File_Screen,data:raw.FilePartnerSales,high
ING_FILE_PartnerSales_EU,STG_Load_PartnerSale,data:raw.FilePartnerSales,high
ING_FILE_PartnerSales_NA,DQ_File_Screen,data:raw.FilePartnerSales,high
ING_FILE_PartnerSales_NA,STG_Load_PartnerSale,data:raw.FilePartnerSales,high
MNT_Archive_ProcessedFiles,MNT_Check_DiskSpace,data:etl.*,low
MNT_Archive_ProcessedFiles,MNT_Purge_ControlHistory,data:etl.*,low
MNT_Archive_ProcessedFiles,MNT_Purge_StagingHistory,data:etl.*,low
MNT_Archive_ProcessedFiles,MNT_Rebuild_Indexes,data:etl.*,low
MNT_Archive_ProcessedFiles,MNT_Update_Statistics,data:etl.*,low
MNT_Archive_ProcessedFiles,MNT_Validate_Configuration,data:etl.*,low
MNT_Check_DiskSpace,MNT_Archive_ProcessedFiles,data:etl.*,low
MNT_Check_DiskSpace,MNT_Purge_ControlHistory,data:etl.*,low
MNT_Check_DiskSpace,MNT_Purge_StagingHistory,data:etl.*,low
MNT_Check_DiskSpace,MNT_Rebuild_Indexes,data:etl.*,low
MNT_Check_DiskSpace,MNT_Update_Statistics,data:etl.*,low
MNT_Check_DiskSpace,MNT_Validate_Configuration,data:etl.*,low
MNT_Purge_ControlHistory,MNT_Archive_ProcessedFiles,data:etl.*,low
MNT_Purge_ControlHistory,MNT_Check_DiskSpace,data:etl.*,low
MNT_Purge_ControlHistory,MNT_Purge_StagingHistory,data:etl.*,low
MNT_Purge_ControlHistory,MNT_Rebuild_Indexes,data:etl.*,low
MNT_Purge_ControlHistory,MNT_Update_Statistics,data:etl.*,low
MNT_Purge_ControlHistory,MNT_Validate_Configuration,data:etl.*,low
MNT_Purge_StagingHistory,MNT_Archive_ProcessedFiles,data:etl.*,low
MNT_Purge_StagingHistory,MNT_Check_DiskSpace,data:etl.*,low
MNT_Purge_StagingHistory,MNT_Purge_ControlHistory,data:etl.*,low
MNT_Purge_StagingHistory,MNT_Rebuild_Indexes,data:etl.*,low
MNT_Purge_StagingHistory,MNT_Update_Statistics,data:etl.*,low
MNT_Purge_StagingHistory,MNT_Validate_Configuration,data:etl.*,low
MNT_Rebuild_Indexes,MNT_Archive_ProcessedFiles,data:etl.*,low
MNT_Rebuild_Indexes,MNT_Check_DiskSpace,data:etl.*,low
MNT_Rebuild_Indexes,MNT_Purge_ControlHistory,data:etl.*,low
MNT_Rebuild_Indexes,MNT_Purge_StagingHistory,data:etl.*,low
MNT_Rebuild_Indexes,MNT_Update_Statistics,data:etl.*,low
MNT_Rebuild_Indexes,MNT_Validate_Configuration,data:etl.*,low
MNT_Update_Statistics,MNT_Archive_ProcessedFiles,data:etl.*,low
MNT_Update_Statistics,MNT_Check_DiskSpace,data:etl.*,low
MNT_Update_Statistics,MNT_Purge_ControlHistory,data:etl.*,low
MNT_Update_Statistics,MNT_Purge_StagingHistory,data:etl.*,low
MNT_Update_Statistics,MNT_Rebuild_Indexes,data:etl.*,low
MNT_Update_Statistics,MNT_Validate_Configuration,data:etl.*,low
MNT_Validate_Configuration,MNT_Archive_ProcessedFiles,data:etl.*,low
MNT_Validate_Configuration,MNT_Check_DiskSpace,data:etl.*,low
MNT_Validate_Configuration,MNT_Purge_ControlHistory,data:etl.*,low
MNT_Validate_Configuration,MNT_Purge_StagingHistory,data:etl.*,low
MNT_Validate_Configuration,MNT_Rebuild_Indexes,data:etl.*,low
MNT_Validate_Configuration,MNT_Update_Statistics,data:etl.*,low
Master_Daily_ETL,AGG_Publish_ReportingLayer,executes,high
Master_Daily_ETL,AGG_Refresh_DailyInventoryHealth,executes,medium
Master_Daily_ETL,AGG_Refresh_DailySalesSummary,executes,medium
Master_Daily_ETL,C360_Build_ChurnFlags,executes,medium
Master_Daily_ETL,C360_Build_CustomerProfile,executes,medium
Master_Daily_ETL,C360_Build_LoyaltyOverlay,executes,medium
Master_Daily_ETL,C360_Build_RollingMetrics,executes,medium
Master_Daily_ETL,C360_Publish_Segments,executes,medium
Master_Daily_ETL,DIM_APAC_Load_Customer,executes,high
Master_Daily_ETL,DIM_EU_Load_Customer,executes,high
Master_Daily_ETL,DIM_Load_City,executes,high
Master_Daily_ETL,DIM_Load_CustomerCategory,executes,medium
Master_Daily_ETL,DIM_Load_CustomerSegment,executes,high
Master_Daily_ETL,DIM_Load_Employee,executes,high
Master_Daily_ETL,DIM_Load_ProductCategory,executes,medium
Master_Daily_ETL,DIM_Load_Promotion,executes,high
Master_Daily_ETL,DIM_Load_SalesTerritory,executes,medium
Master_Daily_ETL,DIM_Load_Salesperson,executes,high
Master_Daily_ETL,DIM_Load_StockItem,executes,high
Master_Daily_ETL,DIM_Load_Supplier,executes,high
Master_Daily_ETL,DIM_Load_VendorContract,executes,high
Master_Daily_ETL,DIM_NA_Load_Customer,executes,high
Master_Daily_ETL,DIM_Rekey_LateArriving,executes,high
Master_Daily_ETL,DQ_Customer_Screen,executes,high
Master_Daily_ETL,DQ_File_Screen,executes,high
Master_Daily_ETL,DQ_InvoiceLine_Screen,executes,high
Master_Daily_ETL,DQ_OrderLine_Screen,executes,high
Master_Daily_ETL,DQ_Payment_Screen,executes,high
Master_Daily_ETL,DQ_Referential_Screen,executes,high
Master_Daily_ETL,DQ_Reject_Reprocess,executes,high
Master_Daily_ETL,DQ_Rule_Engine,executes,high
Master_Daily_ETL,DQ_Supplier_Screen,executes,high
Master_Daily_ETL,DQ_Threshold_Gate,executes,high
Master_Daily_ETL,ERR_Handle_PackageFailure,executes,high
Master_Daily_ETL,ERR_Notify_Operations,executes,high
Master_Daily_ETL,ERR_Quarantine_BadFiles,executes,high
Master_Daily_ETL,ERR_Reconcile_RowCounts,executes,high
Master_Daily_ETL,ERR_Retry_FailedSteps,executes,high
Master_Daily_ETL,ERR_Route_RejectedRows,executes,high
Master_Daily_ETL,EXT_ORA_ApAging,executes,medium
Master_Daily_ETL,EXT_ORA_ApInvoiceHdr,executes,high
Master_Daily_ETL,EXT_ORA_ApInvoiceLine,executes,high
Master_Daily_ETL,EXT_ORA_ApPayment,executes,high
Master_Daily_ETL,EXT_ORA_ApPaymentApply,executes,medium
Master_Daily_ETL,EXT_ORA_CodeTranslation,executes,medium
Master_Daily_ETL,EXT_ORA_CostCenter,executes,medium
Master_Daily_ETL,EXT_ORA_Currency,executes,high
Master_Daily_ETL,EXT_ORA_CustomerAddress,executes,high
Master_Daily_ETL,EXT_ORA_CustomerMaster,executes,high
Master_Daily_ETL,EXT_ORA_FxRateDaily,executes,high
Master_Daily_ETL,EXT_ORA_Geography,executes,medium
Master_Daily_ETL,EXT_ORA_GlJournalLine,executes,high
Master_Daily_ETL,EXT_ORA_PaymentTerms,executes,medium
Master_Daily_ETL,EXT_ORA_ProductHierarchy,executes,medium
Master_Daily_ETL,EXT_ORA_ProductMaster,executes,high
Master_Daily_ETL,EXT_ORA_PurchaseOrderHdr,executes,high
Master_Daily_ETL,EXT_ORA_PurchaseOrderLine,executes,high
Master_Daily_ETL,EXT_ORA_ReceiptLine,executes,high
Master_Daily_ETL,EXT_ORA_SupplierMaster,executes,high
Master_Daily_ETL,EXT_ORA_TaxRate,executes,medium
Master_Daily_ETL,EXT_ORA_VendorContract,executes,medium
Master_Daily_ETL,EXT_SQL_Cities,executes,medium
Master_Daily_ETL,EXT_SQL_CreditNotes,executes,medium
Master_Daily_ETL,EXT_SQL_CustomerSegments,executes,medium
Master_Daily_ETL,EXT_SQL_CustomerTransactions,executes,high
Master_Daily_ETL,EXT_SQL_InvoiceLines,executes,high
Master_Daily_ETL,EXT_SQL_Invoices,executes,high
Master_Daily_ETL,EXT_SQL_LoyaltyLedger,executes,medium
Master_Daily_ETL,EXT_SQL_OrderLines,executes,high
Master_Daily_ETL,EXT_SQL_Orders,executes,high
Master_Daily_ETL,EXT_SQL_PaymentMethods,executes,low
Master_Daily_ETL,EXT_SQL_People,executes,medium
Master_Daily_ETL,EXT_SQL_Promotions,executes,medium
Master_Daily_ETL,EXT_SQL_Returns,executes,medium
Master_Daily_ETL,EXT_SQL_SalesTerritories,executes,medium
Master_Daily_ETL,EXT_SQL_ShipmentLines,executes,high
Master_Daily_ETL,EXT_SQL_Shipments,executes,high
Master_Daily_ETL,EXT_SQL_StockItems,executes,high
Master_Daily_ETL,EXT_SQL_StockMovements,executes,high
Master_Daily_ETL,EXT_SQL_StockTransfers,executes,medium
Master_Daily_ETL,EXT_SQL_SupplierTransactions,executes,medium
Master_Daily_ETL,EXT_SQL_TransactionTypes,executes,low
Master_Daily_ETL,EXT_SQL_WebSessions,executes,low
Master_Daily_ETL,FACT_APAC_Load_Sale,executes,high
Master_Daily_ETL,FACT_Dedup_Sale,executes,medium
Master_Daily_ETL,FACT_EU_Load_Sale,executes,high
Master_Daily_ETL,FACT_Load_CreditNote,executes,high
Master_Daily_ETL,FACT_Load_CustomerTransaction,executes,high
Master_Daily_ETL,FACT_Load_DailyInventorySnapshot,executes,medium
Master_Daily_ETL,FACT_Load_DailySalesSnapshot,executes,medium
Master_Daily_ETL,FACT_Load_GLPosting,executes,high
Master_Daily_ETL,FACT_Load_LoyaltyPoints,executes,high
Master_Daily_ETL,FACT_Load_Movement,executes,high
Master_Daily_ETL,FACT_Load_Order,executes,high
Master_Daily_ETL,FACT_Load_OrderFulfilment,executes,medium
Master_Daily_ETL,FACT_Load_Payment,executes,high
Master_Daily_ETL,FACT_Load_Purchase,executes,high
Master_Daily_ETL,FACT_Load_PurchaseReceipt,executes,high
Master_Daily_ETL,FACT_Load_Return,executes,high
Master_Daily_ETL,FACT_Load_Shipment,executes,medium
Master_Daily_ETL,FACT_Load_StockHolding,executes,medium
Master_Daily_ETL,FACT_Load_SupplierPayment,executes,high
Master_Daily_ETL,FACT_Load_SupplierTransaction,executes,high
Master_Daily_ETL,FACT_Load_Transaction,executes,high
Master_Daily_ETL,FACT_Load_WebSession,executes,high
Master_Daily_ETL,FACT_NA_Load_Sale,executes,high
Master_Daily_ETL,INV_Load_CycleCountVariance,executes,medium
Master_Daily_ETL,INV_Load_DailySnapshot,executes,medium
Master_Daily_ETL,INV_Load_Replenishment,executes,medium
Master_Daily_ETL,INV_Load_StockTransfer,executes,medium
Master_Daily_ETL,INV_Reconcile_OnHand,executes,medium
Master_Daily_ETL,PRC_Export_SupplierStatement,executes,medium
Master_Daily_ETL,PRC_Load_ContractCompliance,executes,medium
Master_Daily_ETL,PRC_Load_PurchaseSpend,executes,medium
Master_Daily_ETL,PRC_Load_ReceiptMatching,executes,medium
Master_Daily_ETL,PRC_Load_SupplierScorecard,executes,medium
Master_Daily_ETL,SLS_APAC_Load_Commission,executes,medium
Master_Daily_ETL,SLS_EU_Load_Commission,executes,medium
Master_Daily_ETL,SLS_Export_PartnerFeed,executes,medium
Master_Daily_ETL,SLS_Load_PromotionRedemption,executes,medium
Master_Daily_ETL,SLS_Load_QuotaAttainment,executes,medium
Master_Daily_ETL,SLS_NA_Load_Commission,executes,medium
Master_Daily_ETL,STG_Load_ApInvoice,executes,high
Master_Daily_ETL,STG_Load_CostCenter,executes,medium
Master_Daily_ETL,STG_Load_Currency,executes,medium
Master_Daily_ETL,STG_Load_Customer,executes,medium
Master_Daily_ETL,STG_Load_CustomerAddress,executes,medium
Master_Daily_ETL,STG_Load_Employee,executes,medium
Master_Daily_ETL,STG_Load_Geography,executes,medium
Master_Daily_ETL,STG_Load_GlJournal,executes,high
Master_Daily_ETL,STG_Load_LoyaltyLedger,executes,high
Master_Daily_ETL,STG_Load_Order,executes,high
Master_Daily_ETL,STG_Load_PartnerSale,executes,high
Master_Daily_ETL,STG_Load_Payment,executes,high
Master_Daily_ETL,STG_Load_Product,executes,medium
Master_Daily_ETL,STG_Load_PromotionAndTerritory,executes,medium
Master_Daily_ETL,STG_Load_PurchaseOrder,executes,high
Master_Daily_ETL,STG_Load_ReturnAndCredit,executes,high
Master_Daily_ETL,STG_Load_Sale,executes,high
Master_Daily_ETL,STG_Load_Shipment,executes,high
Master_Daily_ETL,STG_Load_StockItem,executes,medium
Master_Daily_ETL,STG_Load_StockMovement,executes,high
Master_Daily_ETL,STG_Load_Supplier,executes,medium
Master_Daily_ETL,STG_Load_TaxAndTerms,executes,medium
Master_Daily_ETL,STG_Load_VendorContract,executes,medium
Master_Daily_ETL,STG_Load_WebSession,executes,high
Master_Daily_ETL,STG_Work_CustomerDedup,executes,medium
Master_Daily_ETL,STG_Work_InventoryPosition,executes,medium
Master_Daily_ETL,STG_Work_PaymentMatch,executes,medium
Master_Daily_ETL,STG_Work_ProductCrosswalk,executes,medium
Master_Finance_Close,FIN_Close_PeriodLock,executes,high
Master_Finance_Close,FIN_Currency_Revaluation,executes,high
Master_Finance_Close,FIN_Load_ApAging,executes,high
Master_Finance_Close,FIN_Load_CostAllocation,executes,high
Master_Finance_Close,FIN_Load_GlPostings,executes,high
Master_Finance_Close,FIN_Load_WithholdingTax,executes,high
Master_Finance_Close,FIN_Reconcile_SubledgerToGl,executes,high
Master_Hourly_Incremental,ING_FILE_CarrierScan,executes,medium
Master_Hourly_Incremental,ING_FILE_FxOverride,executes,medium
Master_Hourly_Incremental,ING_FILE_PartnerSales_APAC,executes,low
Master_Hourly_Incremental,ING_FILE_PartnerSales_EU,executes,low
Master_Hourly_Incremental,ING_FILE_PartnerSales_NA,executes,low
Master_Hourly_Incremental,ING_FILE_QuarantineMalformed,executes,medium
Master_Hourly_Incremental,ING_FILE_SupplierCatalog,executes,medium
Master_Month_End,AGG_Refresh_Customer360,executes,medium
Master_Month_End,AGG_Refresh_CustomerRolling12Month,executes,medium
Master_Month_End,AGG_Refresh_DeliveryPerformanceSummary,executes,medium
Master_Month_End,AGG_Refresh_FinanceCloseSummary,executes,medium
Master_Month_End,AGG_Refresh_MonthlyMarginAnalysis,executes,medium
Master_Month_End,AGG_Refresh_MonthlySalesSummary,executes,medium
Master_Month_End,AGG_Refresh_ProductPerformance,executes,medium
Master_Month_End,AGG_Refresh_PromotionEffectiveness,executes,medium
Master_Month_End,AGG_Refresh_RegionalSalesPerformance,executes,medium
Master_Month_End,AGG_Refresh_SupplierPerformance,executes,medium
Master_Month_End,FACT_Apply_Corrections,executes,high
Master_Weekly_Maintenance,MNT_Archive_ProcessedFiles,executes,low
Master_Weekly_Maintenance,MNT_Check_DiskSpace,executes,low
Master_Weekly_Maintenance,MNT_Purge_ControlHistory,executes,low
Master_Weekly_Maintenance,MNT_Purge_StagingHistory,executes,low
Master_Weekly_Maintenance,MNT_Rebuild_Indexes,executes,low
Master_Weekly_Maintenance,MNT_Update_Statistics,executes,low
Master_Weekly_Maintenance,MNT_Validate_Configuration,executes,low
Master_Weekly_Reference_Load,REF_Load_Carrier,executes,medium
Master_Weekly_Reference_Load,REF_Load_CodeTranslation,executes,medium
Master_Weekly_Reference_Load,REF_Load_CostCenter,executes,medium
Master_Weekly_Reference_Load,REF_Load_Currency,executes,medium
Master_Weekly_Reference_Load,REF_Load_DateDimension,executes,high
Master_Weekly_Reference_Load,REF_Load_Geography,executes,medium
Master_Weekly_Reference_Load,REF_Load_LoyaltyTier,executes,medium
Master_Weekly_Reference_Load,REF_Load_PaymentMethod,executes,medium
Master_Weekly_Reference_Load,REF_Load_PaymentTerms,executes,medium
Master_Weekly_Reference_Load,REF_Load_ReturnReason,executes,medium
Master_Weekly_Reference_Load,REF_Load_SalesChannel,executes,medium
Master_Weekly_Reference_Load,REF_Load_TransactionType,executes,medium
Master_Weekly_Reference_Load,REF_Load_UnknownMembers,executes,high
Master_Weekly_Reference_Load,REF_Load_WarehouseSite,executes,medium
REF_Load_CodeTranslation,FIN_Close_PeriodLock,data:etl.Configuration,high
REF_Load_UnknownMembers,AGG_Refresh_Customer360,data:Dimension.*,medium
