package,folder,source_system,source_object,target_system,target_object,load_type
EXT_ORA_SupplierMaster,01_oracle_extract,Oracle,WWI_MDM.SUPP_MASTER,SQL Server Staging,raw.OracleSupplierMaster,incremental_timestamp
EXT_ORA_TaxRate,01_oracle_extract,Oracle,WWI_FIN.TAX_RATE,SQL Server Staging,raw.OracleTaxRate,full
EXT_ORA_VendorContract,01_oracle_extract,Oracle,WWI_PROC.VENDOR_CONTRACT,SQL Server Staging,raw.OracleVendorContract,full
EXT_SQL_Cities,02_sqlserver_extract,SQL Server OLTP,Application.Cities,SQL Server Staging,raw.OracleGeography,full
EXT_SQL_CreditNotes,02_sqlserver_extract,SQL Server OLTP,Returns.CreditNoteLines,SQL Server Staging,raw.SqlCreditNote,incremental_key
EXT_SQL_CustomerSegments,02_sqlserver_extract,SQL Server OLTP,Sales.CustomerSegmentAssignments,SQL Server Staging,raw.SqlOrder,full
EXT_SQL_CustomerTransactions,02_sqlserver_extract,SQL Server OLTP,Sales.CustomerTransactions,SQL Server Staging,raw.SqlInvoice,incremental_key
EXT_SQL_InvoiceLines,02_sqlserver_extract,SQL Server OLTP,Sales.InvoiceLines,SQL Server Staging,raw.SqlInvoiceLine,incremental_key
EXT_SQL_Invoices,02_sqlserver_extract,SQL Server OLTP,Sales.Invoices,SQL Server Staging,raw.SqlInvoice,incremental_key
EXT_SQL_LoyaltyLedger,02_sqlserver_extract,SQL Server OLTP,Loyalty.LoyaltyPointsLedger,SQL Server Staging,raw.SqlLoyaltyLedger,incremental_key
EXT_SQL_OrderLines,02_sqlserver_extract,SQL Server OLTP,Sales.OrderLines,SQL Server Staging,raw.SqlOrderLine,incremental_key
EXT_SQL_Orders,02_sqlserver_extract,SQL Server OLTP,Sales.Orders,SQL Server Staging,raw.SqlOrder,incremental_key
EXT_SQL_PaymentMethods,02_sqlserver_extract,SQL Server OLTP,Application.PaymentMethods,SQL Server Staging,raw.SqlInvoice,full
EXT_SQL_People,02_sqlserver_extract,SQL Server OLTP,Application.People,SQL Server Staging,raw.SqlOrder,full
EXT_SQL_Promotions,02_sqlserver_extract,SQL Server OLTP,Sales.Promotions,SQL Server Staging,raw.SqlOrder,full
EXT_SQL_Returns,02_sqlserver_extract,SQL Server OLTP,Returns.ReturnLines,SQL Server Staging,raw.SqlReturnLine,incremental_key
EXT_SQL_SalesTerritories,02_sqlserver_extract,SQL Server OLTP,Sales.SalesTerritories,SQL Server Staging,raw.SqlOrder,full
EXT_SQL_ShipmentLines,02_sqlserver_extract,SQL Server OLTP,Shipping.ShipmentLines,SQL Server Staging,raw.SqlShipmentLine,incremental_key
EXT_SQL_Shipments,02_sqlserver_extract,SQL Server OLTP,Shipping.ShipmentHeaders,SQL Server Staging,raw.SqlShipment,incremental_key
EXT_SQL_StockItems,02_sqlserver_extract,SQL Server OLTP,Warehouse.StockItems,SQL Server Staging,raw.SqlStockItem,incremental_timestamp
EXT_SQL_StockMovements,02_sqlserver_extract,SQL Server OLTP,Warehouse.StockItemTransactions,SQL Server Staging,raw.SqlStockMovement,incremental_key
EXT_SQL_StockTransfers,02_sqlserver_extract,SQL Server OLTP,Warehouse.StockTransferLines,SQL Server Staging,raw.SqlStockMovement,incremental_key
EXT_SQL_SupplierTransactions,02_sqlserver_extract,SQL Server OLTP,Purchasing.SupplierTransactions,SQL Server Staging,raw.SqlInvoice,incremental_key
EXT_SQL_TransactionTypes,02_sqlserver_extract,SQL Server OLTP,Application.TransactionTypes,SQL Server Staging,raw.SqlInvoice,full
EXT_SQL_WebSessions,02_sqlserver_extract,SQL Server OLTP,Ecommerce.WebSessions,SQL Server Staging,raw.SqlWebSession,date_window
FACT_APAC_Load_Sale,08_facts,SQL Server Staging,stg.SaleLine,SQL Server DW,Fact.Sale,incremental_fact
FACT_Apply_Corrections,08_facts,SQL Server Staging,work.FactRekeyQueue,SQL Server DW,Fact.Order,correction
FACT_Apply_Corrections,08_facts,SQL Server Staging,work.FactRekeyQueue,SQL Server DW,Fact.Payment,correction
FACT_Apply_Corrections,08_facts,SQL Server Staging,work.FactRekeyQueue,SQL Server DW,Fact.Sale,correction
FACT_Dedup_Sale,08_facts,SQL Server DW,Fact.Sale,SQL Server DW,Fact.Sale,dedup
FACT_EU_Load_Sale,08_facts,SQL Server Staging,stg.SaleLine,SQL Server DW,Fact.Sale,incremental_fact
FACT_Load_CreditNote,08_facts,SQL Server Staging,stg.CreditNote,SQL Server DW,Fact.Credit Note,incremental_fact
FACT_Load_CustomerTransaction,08_facts,SQL Server Staging,stg.CustomerTransaction,SQL Server DW,Fact.Customer Transaction,incremental_fact
FACT_Load_DailyInventorySnapshot,08_facts,SQL Server Staging,stg.DailyInventorySnapshot,SQL Server DW,Fact.Daily Inventory Snapshot,snapshot_fact
FACT_Load_DailySalesSnapshot,08_facts,SQL Server Staging,stg.DailySalesSnapshot,SQL Server DW,Fact.Daily Sales Snapshot,snapshot_fact
FACT_Load_GLPosting,08_facts,SQL Server Staging,stg.GLPosting,SQL Server DW,Fact.GL Posting,incremental_fact
FACT_Load_LoyaltyPoints,08_facts,SQL Server Staging,stg.LoyaltyPoints,SQL Server DW,Fact.Loyalty Points,incremental_fact
FACT_Load_Movement,08_facts,SQL Server Staging,stg.Movement,SQL Server DW,Fact.Movement,incremental_fact
FACT_Load_Order,08_facts,SQL Server Staging,stg.Order,SQL Server DW,Fact.Order,incremental_fact
FACT_Load_OrderFulfilment,08_facts,SQL Server Staging,stg.OrderFulfilment,SQL Server DW,Fact.Order Fulfilment,snapshot_fact
FACT_Load_Payment,08_facts,SQL Server Staging,stg.Payment,SQL Server DW,Fact.Payment,incremental_fact
FACT_Load_Purchase,08_facts,SQL Server Staging,stg.Purchase,SQL Server DW,Fact.Purchase,incremental_fact
FACT_Load_PurchaseReceipt,08_facts,SQL Server Staging,stg.PurchaseReceipt,SQL Server DW,Fact.Purchase Receipt,incremental_fact
FACT_Load_Return,08_facts,SQL Server Staging,stg.Return,SQL Server DW,Fact.Return,incremental_fact
FACT_Load_Shipment,08_facts,SQL Server Staging,stg.Shipment,SQL Server DW,Fact.Shipment,snapshot_fact
FACT_Load_StockHolding,08_facts,SQL Server Staging,stg.StockHolding,SQL Server DW,Fact.Stock Holding,snapshot_fact
FACT_Load_SupplierPayment,08_facts,SQL Server Staging,stg.SupplierPayment,SQL Server DW,Fact.Supplier Payment,incremental_fact
FACT_Load_SupplierTransaction,08_facts,SQL Server Staging,stg.SupplierTransaction,SQL Server DW,Fact.Supplier Transaction,incremental_fact
FACT_Load_Transaction,08_facts,SQL Server Staging,stg.Transaction,SQL Server DW,Fact.Transaction,incremental_fact
FACT_Load_WebSession,08_facts,SQL Server Staging,stg.WebSession,SQL Server DW,Fact.Web Session,incremental_fact
FACT_NA_Load_Sale,08_facts,SQL Server Staging,stg.SaleLine,SQL Server DW,Fact.Sale,incremental_fact
FIN_Close_PeriodLock,10_finance,SQL Server DW,etl.Configuration,SQL Server DW,etl.Batch,business_rule
FIN_Currency_Revaluation,10_finance,SQL Server Staging,stg.FxRate,SQL Server DW,Fact.Payment,business_rule
FIN_Load_ApAging,10_finance,SQL Server Staging,stg.ApInvoice,SQL Server DW,Fact.Payment,business_rule
FIN_Load_CostAllocation,10_finance,SQL Server Staging,stg.CostCenter,SQL Server DW,Aggregate.Finance Close Summary,business_rule
FIN_Load_GlPostings,10_finance,SQL Server Staging,stg.GlJournalLine,SQL Server DW,Fact.GL Posting,business_rule
FIN_Load_WithholdingTax,10_finance,SQL Server Staging,stg.ApInvoiceLine,SQL Server DW,Fact.Payment,business_rule
FIN_Reconcile_SubledgerToGl,10_finance,SQL Server DW,Fact.GL Posting,SQL Server DW,etl.ReconciliationResult,business_rule
FIN_Reconcile_SubledgerToGl,10_finance,SQL Server DW,Fact.Payment,SQL Server DW,etl.ReconciliationResult,business_rule
ING_FILE_CarrierScan,03_file_ingestion,File share,carrier_scan_*.csv,SQL Server Staging,raw.FileCarrierScan,file_ingest
ING_FILE_FxOverride,03_file_ingestion,File share,fx_override_*.csv,SQL Server Staging,raw.FileFxOverride,file_ingest
ING_FILE_PartnerSales_APAC,03_file_ingestion,File share,partner_sales_apac_*.txt,SQL Server Staging,raw.FilePartnerSales,file_ingest
ING_FILE_PartnerSales_EU,03_file_ingestion,File share,partner_sales_eu_*.csv,SQL Server Staging,raw.FilePartnerSales,file_ingest
ING_FILE_PartnerSales_NA,03_file_ingestion,File share,partner_sales_na_*.csv,SQL Server Staging,raw.FilePartnerSales,file_ingest
ING_FILE_QuarantineMalformed,03_file_ingestion,File share,quarantine/*,SQL Server Staging,err.RejectedFileRow,file_ingest
ING_FILE_SupplierCatalog,03_file_ingestion,File share,supplier_catalog_*.psv,SQL Server Staging,raw.FileSupplierCatalog,file_ingest
INV_Load_CycleCountVariance,12_inventory,SQL Server Staging,stg.StockMovement,SQL Server DW,Fact.Movement,business_rule
INV_Load_DailySnapshot,12_inventory,SQL Server DW,work.InventoryPositionDaily,SQL Server DW,Fact.Daily Inventory Snapshot,business_rule
INV_Load_Replenishment,12_inventory,SQL Server Staging,stg.StockItem,SQL Server DW,Aggregate.Daily Inventory Health,business_rule
INV_Load_StockTransfer,12_inventory,SQL Server Staging,stg.StockMovement,SQL Server DW,Fact.Movement,business_rule
INV_Reconcile_OnHand,12_inventory,SQL Server DW,Fact.Stock Holding,SQL Server DW,etl.ReconciliationResult,business_rule
MNT_Archive_ProcessedFiles,99_maintenance,SQL Server DW,etl.*,SQL Server DW,etl.*,utility
MNT_Check_DiskSpace,99_maintenance,SQL Server DW,etl.*,SQL Server DW,etl.*,utility
MNT_Purge_ControlHistory,99_maintenance,SQL Server DW,etl.*,SQL Server DW,etl.*,utility
MNT_Purge_StagingHistory,99_maintenance,SQL Server DW,etl.*,SQL Server DW,etl.*,utility
MNT_Rebuild_Indexes,99_maintenance,SQL Server DW,etl.*,SQL Server DW,etl.*,utility
MNT_Update_Statistics,99_maintenance,SQL Server DW,etl.*,SQL Server DW,etl.*,utility
MNT_Validate_Configuration,99_maintenance,SQL Server DW,etl.*,SQL Server DW,etl.*,utility
PRC_Export_SupplierStatement,13_procurement,SQL Server DW,Fact.Supplier Transaction,SQL Server DW,file:supplier_statement.csv,business_rule
PRC_Load_ContractCompliance,13_procurement,SQL Server Staging,stg.VendorContract,SQL Server DW,Aggregate.Supplier Performance,business_rule
PRC_Load_PurchaseSpend,13_procurement,SQL Server Staging,stg.PurchaseOrderLine,SQL Server DW,Fact.Purchase,business_rule
PRC_Load_ReceiptMatching,13_procurement,SQL Server Staging,stg.Receipt,SQL Server DW,Fact.Purchase Receipt,business_rule
PRC_Load_SupplierScorecard,13_procurement,SQL Server Staging,stg.Supplier,SQL Server DW,Aggregate.Supplier Performance,business_rule
REF_Load_Carrier,06_reference_data,SQL Server Staging,stg.*,SQL Server DW,Dimension.Carrier,full_refresh
REF_Load_CodeTranslation,06_reference_data,SQL Server Staging,stg.*,SQL Server DW,etl.Configuration,full_refresh
REF_Load_CostCenter,06_reference_data,SQL Server Staging,stg.*,SQL Server DW,Dimension.Cost Center,full_refresh
REF_Load_Currency,06_reference_data,SQL Server Staging,stg.*,SQL Server DW,Dimension.Currency,full_refresh
REF_Load_DateDimension,06_reference_data,SQL Server Staging,stg.*,SQL Server DW,Dimension.Date,full_refresh
REF_Load_Geography,06_reference_data,SQL Server Staging,stg.*,SQL Server DW,Dimension.Geography,full_refresh
REF_Load_LoyaltyTier,06_reference_data,SQL Server Staging,stg.*,SQL Server DW,Dimension.Loyalty Tier,full_refresh
REF_Load_PaymentMethod,06_reference_data,SQL Server Staging,stg.*,SQL Server DW,Dimension.Payment Method,full_refresh
REF_Load_PaymentTerms,06_reference_data,SQL Server Staging,stg.*,SQL Server DW,Dimension.Payment Terms,full_refresh
REF_Load_ReturnReason,06_reference_data,SQL Server Staging,stg.*,SQL Server DW,Dimension.Return Reason,full_refresh
REF_Load_SalesChannel,06_reference_data,SQL Server Staging,stg.*,SQL Server DW,Dimension.Sales Channel,full_refresh
REF_Load_TransactionType,06_reference_data,SQL Server Staging,stg.*,SQL Server DW,Dimension.Transaction Type,full_refresh
REF_Load_UnknownMembers,06_reference_data,SQL Server Staging,stg.*,SQL Server DW,Dimension.*,full_refresh
REF_Load_WarehouseSite,06_reference_data,SQL Server Staging,stg.*,SQL Server DW,Dimension.Warehouse Site,full_refresh
SLS_APAC_Load_Commission,11_sales,SQL Server Staging,stg.SaleLine,SQL Server DW,Fact.Sale,business_rule
SLS_EU_Load_Commission,11_sales,SQL Server Staging,stg.SaleLine,SQL Server DW,Fact.Sale,business_rule
SLS_Export_PartnerFeed,11_sales,SQL Server DW,Fact.Sale,SQL Server DW,file:partner_feed.csv,business_rule
SLS_Load_PromotionRedemption,11_sales,SQL Server Staging,stg.Promotion,SQL Server DW,Aggregate.Promotion Effectiveness,business_rule
SLS_Load_QuotaAttainment,11_sales,SQL Server Staging,stg.SaleLine,SQL Server DW,Aggregate.Regional Sales Performance,business_rule
SLS_NA_Load_Commission,11_sales,SQL Server Staging,stg.SaleLine,SQL Server DW,Fact.Sale,business_rule
STG_Load_ApInvoice,04_staging,SQL Server Staging (raw),raw.OracleApInvoiceHdr,SQL Server Staging,stg.ApInvoice,incremental_append
STG_Load_ApInvoice,04_staging,SQL Server Staging (raw),raw.OracleApInvoiceHdr,SQL Server Staging,stg.ApInvoiceLine,incremental_append
STG_Load_ApInvoice,04_staging,SQL Server Staging (raw),raw.OracleApInvoiceLine,SQL Server Staging,stg.ApInvoice,incremental_append
STG_Load_ApInvoice,04_staging,SQL Server Staging (raw),raw.OracleApInvoiceLine,SQL Server Staging,stg.ApInvoiceLine,incremental_append
STG_Load_CostCenter,04_staging,SQL Server Staging (raw),raw.OracleCostCenter,SQL Server Staging,stg.CostCenter,truncate_reload
STG_Load_Currency,04_staging,SQL Server Staging (raw),raw.OracleCurrency,SQL Server Staging,stg.Currency,truncate_reload
STG_Load_Currency,04_staging,SQL Server Staging (raw),raw.OracleCurrency,SQL Server Staging,stg.FxRate,truncate_reload
STG_Load_Currency,04_staging,SQL Server Staging (raw),raw.OracleFxRate,SQL Server Staging,stg.Currency,truncate_reload
STG_Load_Currency,04_staging,SQL Server Staging (raw),raw.OracleFxRate,SQL Server Staging,stg.FxRate,truncate_reload
