from_object,from_layer,to_object,to_layer,package,via
AGGREGATE.CUSTOMER ROLLING 12 MONTH,dw-aggregate,AGGREGATE.CUSTOMER ROLLING 12 MONTH,dw-aggregate,AGG_Refresh_CustomerRolling12Month,proc:INTEGRATION.USP_REFRESHAGGREGATECUSTOMER360
AGGREGATE.CUSTOMER ROLLING 12 MONTH,dw-aggregate,ERR.REJECTEDCONSTRAINTVIOLATION,staging-err,AGG_Refresh_CustomerRolling12Month,direct
AGGREGATE.CUSTOMER WEB POSITION,sqlserver-dw,AGGREGATE.CUSTOMER 360,dw-aggregate,AGG_Refresh_Customer360,direct
AGGREGATE.CUSTOMER WEB POSITION,sqlserver-dw,ERR.REJECTEDCONSTRAINTVIOLATION,staging-err,AGG_Refresh_Customer360,direct
AGGREGATE.DAILY INVENTORY HEALTH,dw-aggregate,AGGREGATE.DAILY INVENTORY HEALTH,dw-aggregate,AGG_Refresh_DailyInventoryHealth,direct
AGGREGATE.DAILY INVENTORY HEALTH,dw-aggregate,AGGREGATE.DAILY INVENTORY HEALTH,dw-aggregate,AGG_Refresh_DailyInventoryHealth,proc:INTEGRATION.USP_REFRESHAGGREGATEINVENTORYHEALTH
AGGREGATE.DAILY INVENTORY HEALTH,dw-aggregate,ERR.REJECTEDCONSTRAINTVIOLATION,staging-err,AGG_Refresh_DailyInventoryHealth,direct
AGGREGATE.DAILY INVENTORY HEALTH,dw-aggregate,REPORT.PUBLISHSTATE,sqlserver-dw,AGG_Publish_ReportingLayer,proc:INTEGRATION.USP_PUBLISHREPORTINGLAYER
AGGREGATE.DAILY SALES SUMMARY,dw-aggregate,AGGREGATE.DAILY SALES SUMMARY,dw-aggregate,AGG_Refresh_DailySalesSummary,direct
AGGREGATE.DAILY SALES SUMMARY,dw-aggregate,AGGREGATE.DAILY SALES SUMMARY,dw-aggregate,AGG_Refresh_DailySalesSummary,proc:INTEGRATION.USP_REFRESHAGGREGATEDAILYSALES
AGGREGATE.DAILY SALES SUMMARY,dw-aggregate,ERR.REJECTEDCONSTRAINTVIOLATION,staging-err,AGG_Refresh_DailySalesSummary,direct
AGGREGATE.DAILY SALES SUMMARY,dw-aggregate,REPORT.PUBLISHSTATE,sqlserver-dw,AGG_Publish_ReportingLayer,proc:INTEGRATION.USP_PUBLISHREPORTINGLAYER
AGGREGATE.DELIVERY PERFORMANCE SUMMARY,dw-aggregate,AGGREGATE.DELIVERY PERFORMANCE SUMMARY,dw-aggregate,AGG_Refresh_DeliveryPerformanceSummary,direct
AGGREGATE.DELIVERY PERFORMANCE SUMMARY,dw-aggregate,AGGREGATE.DELIVERY PERFORMANCE SUMMARY,dw-aggregate,AGG_Refresh_DeliveryPerformanceSummary,proc:INTEGRATION.USP_REFRESHAGGREGATEDELIVERYPERFORMANCE
AGGREGATE.DELIVERY PERFORMANCE SUMMARY,dw-aggregate,ERR.REJECTEDCONSTRAINTVIOLATION,staging-err,AGG_Refresh_DeliveryPerformanceSummary,direct
AGGREGATE.DELIVERY PERFORMANCE SUMMARY,dw-aggregate,ERR.REJECTEDSHIPMENT,staging-err,AGG_Refresh_DeliveryPerformanceSummary,direct
AGGREGATE.FINANCE CLOSE SUMMARY,dw-aggregate,AGGREGATE.FINANCE CLOSE SUMMARY,dw-aggregate,AGG_Refresh_FinanceCloseSummary,direct
AGGREGATE.FINANCE CLOSE SUMMARY,dw-aggregate,AGGREGATE.FINANCE CLOSE SUMMARY,dw-aggregate,AGG_Refresh_FinanceCloseSummary,proc:INTEGRATION.USP_REFRESHAGGREGATEFINANCECLOSE
AGGREGATE.FINANCE CLOSE SUMMARY,dw-aggregate,ERR.REJECTEDCONSTRAINTVIOLATION,staging-err,AGG_Refresh_FinanceCloseSummary,direct
AGGREGATE.MONTHLY MARGIN ANALYSIS,dw-aggregate,AGGREGATE.MONTHLY MARGIN ANALYSIS,dw-aggregate,AGG_Refresh_MonthlyMarginAnalysis,direct
AGGREGATE.MONTHLY MARGIN ANALYSIS,dw-aggregate,AGGREGATE.MONTHLY MARGIN ANALYSIS,dw-aggregate,AGG_Refresh_MonthlyMarginAnalysis,proc:INTEGRATION.USP_REFRESHAGGREGATEMARGINANALYSIS
AGGREGATE.MONTHLY MARGIN ANALYSIS,dw-aggregate,ERR.REJECTEDCONSTRAINTVIOLATION,staging-err,AGG_Refresh_MonthlyMarginAnalysis,direct
AGGREGATE.MONTHLY SALES SUMMARY,dw-aggregate,AGGREGATE.MONTHLY SALES SUMMARY,dw-aggregate,AGG_Refresh_MonthlySalesSummary,direct
AGGREGATE.MONTHLY SALES SUMMARY,dw-aggregate,AGGREGATE.MONTHLY SALES SUMMARY,dw-aggregate,AGG_Refresh_MonthlySalesSummary,proc:INTEGRATION.USP_REFRESHAGGREGATEMONTHLYSALES
AGGREGATE.MONTHLY SALES SUMMARY,dw-aggregate,ERR.REJECTEDCONSTRAINTVIOLATION,staging-err,AGG_Refresh_MonthlySalesSummary,direct
AGGREGATE.MONTHLY SALES SUMMARY,dw-aggregate,ERR.REJECTEDINVOICELINE,staging-err,AGG_Refresh_MonthlySalesSummary,direct
AGGREGATE.PERIOD CALENDAR,sqlserver-dw,AGGREGATE.CUSTOMER ROLLING 12 MONTH,dw-aggregate,AGG_Refresh_CustomerRolling12Month,direct
AGGREGATE.PERIOD CALENDAR,sqlserver-dw,ERR.REJECTEDCONSTRAINTVIOLATION,staging-err,AGG_Refresh_CustomerRolling12Month,direct
AGGREGATE.PRODUCT PERFORMANCE,dw-aggregate,AGGREGATE.PRODUCT PERFORMANCE,dw-aggregate,AGG_Refresh_ProductPerformance,direct
AGGREGATE.PRODUCT PERFORMANCE,dw-aggregate,AGGREGATE.PRODUCT PERFORMANCE,dw-aggregate,AGG_Refresh_ProductPerformance,proc:INTEGRATION.USP_REFRESHAGGREGATEPRODUCTPERFORMANCE
AGGREGATE.PRODUCT PERFORMANCE,dw-aggregate,ERR.REJECTEDCONSTRAINTVIOLATION,staging-err,AGG_Refresh_ProductPerformance,direct
AGGREGATE.PROMOTION BASELINE,sqlserver-dw,AGGREGATE.PROMOTION EFFECTIVENESS,dw-aggregate,AGG_Refresh_PromotionEffectiveness,direct
AGGREGATE.PROMOTION BASELINE,sqlserver-dw,ERR.REJECTEDCONSTRAINTVIOLATION,staging-err,AGG_Refresh_PromotionEffectiveness,direct
AGGREGATE.PROMOTION BASELINE,sqlserver-dw,ERR.REJECTEDINVOICELINE,staging-err,AGG_Refresh_PromotionEffectiveness,direct
AGGREGATE.PROMOTION EFFECTIVENESS,dw-aggregate,AGGREGATE.PROMOTION EFFECTIVENESS,dw-aggregate,AGG_Refresh_PromotionEffectiveness,direct
AGGREGATE.PROMOTION EFFECTIVENESS,dw-aggregate,AGGREGATE.PROMOTION EFFECTIVENESS,dw-aggregate,AGG_Refresh_PromotionEffectiveness,proc:INTEGRATION.USP_REFRESHAGGREGATEPROMOTIONEFFECTIVENESS
AGGREGATE.PROMOTION EFFECTIVENESS,dw-aggregate,AGGREGATE.PROMOTION EFFECTIVENESS,dw-aggregate,SLS_Load_PromotionRedemption,direct
AGGREGATE.PROMOTION EFFECTIVENESS,dw-aggregate,ERR.REJECTEDCONSTRAINTVIOLATION,staging-err,AGG_Refresh_PromotionEffectiveness,direct
AGGREGATE.PROMOTION EFFECTIVENESS,dw-aggregate,ERR.REJECTEDINVOICELINE,staging-err,AGG_Refresh_PromotionEffectiveness,direct
AGGREGATE.PROMOTION EFFECTIVENESS,dw-aggregate,WORK.PROMOTIONREDEMPTION,sqlserver-staging,SLS_Load_PromotionRedemption,direct
AGGREGATE.PROMOTION EFFECTIVENESS,dw-aggregate,WORK.PROMOTIONSPILL,sqlserver-staging,SLS_Load_PromotionRedemption,direct
AGGREGATE.PROMOTION ELIGIBILITY,sqlserver-dw,AGGREGATE.PROMOTION EFFECTIVENESS,dw-aggregate,AGG_Refresh_PromotionEffectiveness,direct
AGGREGATE.PROMOTION ELIGIBILITY,sqlserver-dw,ERR.REJECTEDCONSTRAINTVIOLATION,staging-err,AGG_Refresh_PromotionEffectiveness,direct
AGGREGATE.PROMOTION ELIGIBILITY,sqlserver-dw,ERR.REJECTEDINVOICELINE,staging-err,AGG_Refresh_PromotionEffectiveness,direct
AGGREGATE.REGIONAL SALES PERFORMANCE,dw-aggregate,AGGREGATE.REGIONAL SALES PERFORMANCE,dw-aggregate,AGG_Refresh_RegionalSalesPerformance,direct
AGGREGATE.REGIONAL SALES PERFORMANCE,dw-aggregate,AGGREGATE.REGIONAL SALES PERFORMANCE,dw-aggregate,AGG_Refresh_RegionalSalesPerformance,proc:INTEGRATION.USP_REFRESHAGGREGATEREGIONALSALES
AGGREGATE.REGIONAL SALES PERFORMANCE,dw-aggregate,ERR.REJECTEDCONSTRAINTVIOLATION,staging-err,AGG_Refresh_RegionalSalesPerformance,direct
AGGREGATE.REGIONAL SALES PERFORMANCE,dw-aggregate,ERR.REJECTEDINVOICELINE,staging-err,AGG_Refresh_RegionalSalesPerformance,direct
AGGREGATE.SUB LEDGER CONTROL TOTAL,sqlserver-dw,AGGREGATE.FINANCE CLOSE SUMMARY,dw-aggregate,AGG_Refresh_FinanceCloseSummary,direct
AGGREGATE.SUB LEDGER CONTROL TOTAL,sqlserver-dw,ERR.REJECTEDCONSTRAINTVIOLATION,staging-err,AGG_Refresh_FinanceCloseSummary,direct
AGGREGATE.SUPPLIER PERFORMANCE,dw-aggregate,AGGREGATE.SUPPLIER PERFORMANCE,dw-aggregate,AGG_Refresh_SupplierPerformance,direct
AGGREGATE.SUPPLIER PERFORMANCE,dw-aggregate,AGGREGATE.SUPPLIER PERFORMANCE,dw-aggregate,AGG_Refresh_SupplierPerformance,proc:INTEGRATION.USP_REFRESHAGGREGATESUPPLIERPERFORMANCE
AGGREGATE.SUPPLIER PERFORMANCE,dw-aggregate,AGGREGATE.SUPPLIER PERFORMANCE,dw-aggregate,PRC_Load_ContractCompliance,direct
AGGREGATE.SUPPLIER PERFORMANCE,dw-aggregate,ERR.REJECTEDCONSTRAINTVIOLATION,staging-err,AGG_Refresh_SupplierPerformance,direct
AGGREGATE.SUPPLIER PERFORMANCE,dw-aggregate,ETL.REJECTEDRECORD,control-table,PRC_Load_ContractCompliance,direct
AGGREGATE.SUPPLIER PERFORMANCE,dw-aggregate,WORK.CONTRACTCOMPLIANCE,sqlserver-staging,PRC_Load_ContractCompliance,direct
AGGREGATE.SUPPLIER QUALITY POSITION,sqlserver-dw,AGGREGATE.SUPPLIER PERFORMANCE,dw-aggregate,AGG_Refresh_SupplierPerformance,direct
AGGREGATE.SUPPLIER QUALITY POSITION,sqlserver-dw,ERR.REJECTEDCONSTRAINTVIOLATION,staging-err,AGG_Refresh_SupplierPerformance,direct
AGGREGATE.TERRITORY QUOTA,sqlserver-dw,AGGREGATE.REGIONAL SALES PERFORMANCE,dw-aggregate,AGG_Refresh_RegionalSalesPerformance,direct
AGGREGATE.TERRITORY QUOTA,sqlserver-dw,ERR.REJECTEDCONSTRAINTVIOLATION,staging-err,AGG_Refresh_RegionalSalesPerformance,direct
AGGREGATE.TERRITORY QUOTA,sqlserver-dw,ERR.REJECTEDINVOICELINE,staging-err,AGG_Refresh_RegionalSalesPerformance,direct
APPLICATION.CITIES,sqlserver-oltp,ERR.REJECTEDCONSTRAINTVIOLATION,staging-err,EXT_SQL_Cities,direct
APPLICATION.CITIES,sqlserver-oltp,RAW.ORACLEGEOGRAPHY,staging-raw,EXT_SQL_Cities,direct
APPLICATION.COUNTRIES,sqlserver-oltp,ERR.REJECTEDCONSTRAINTVIOLATION,staging-err,EXT_SQL_Cities,direct
APPLICATION.COUNTRIES,sqlserver-oltp,RAW.ORACLEGEOGRAPHY,staging-raw,EXT_SQL_Cities,direct
APPLICATION.PAYMENTMETHODS,sqlserver-oltp,ERR.REJECTEDCONSTRAINTVIOLATION,staging-err,EXT_SQL_CustomerTransactions,direct
APPLICATION.PAYMENTMETHODS,sqlserver-oltp,RAW.SQLINVOICE,staging-raw,EXT_SQL_CustomerTransactions,direct
APPLICATION.PAYMENTMETHODS,sqlserver-oltp,RAW.SQLINVOICE,staging-raw,EXT_SQL_PaymentMethods,direct
APPLICATION.PEOPLE,sqlserver-oltp,RAW.SQLORDER,staging-raw,EXT_SQL_People,direct
APPLICATION.STATEPROVINCES,sqlserver-oltp,ERR.REJECTEDCONSTRAINTVIOLATION,staging-err,EXT_SQL_Cities,direct
APPLICATION.STATEPROVINCES,sqlserver-oltp,RAW.ORACLEGEOGRAPHY,staging-raw,EXT_SQL_Cities,direct
APPLICATION.TRANSACTIONTYPES,sqlserver-oltp,ERR.REJECTEDCONSTRAINTVIOLATION,staging-err,EXT_SQL_CustomerTransactions,direct
APPLICATION.TRANSACTIONTYPES,sqlserver-oltp,ERR.REJECTEDCONSTRAINTVIOLATION,staging-err,EXT_SQL_StockMovements,direct
APPLICATION.TRANSACTIONTYPES,sqlserver-oltp,ERR.REJECTEDCONSTRAINTVIOLATION,staging-err,EXT_SQL_SupplierTransactions,direct
APPLICATION.TRANSACTIONTYPES,sqlserver-oltp,RAW.SQLINVOICE,staging-raw,EXT_SQL_CustomerTransactions,direct
APPLICATION.TRANSACTIONTYPES,sqlserver-oltp,RAW.SQLINVOICE,staging-raw,EXT_SQL_SupplierTransactions,direct
APPLICATION.TRANSACTIONTYPES,sqlserver-oltp,RAW.SQLINVOICE,staging-raw,EXT_SQL_TransactionTypes,direct
APPLICATION.TRANSACTIONTYPES,sqlserver-oltp,RAW.SQLSTOCKMOVEMENT,staging-raw,EXT_SQL_StockMovements,direct
C.ATTRIBUTECOMPLETENESS,unknown,REF.SOURCEKEYCROSSWALK,reference,STG_Work_CustomerDedup,proc:STG.USP_DEDUPLICATECUSTOMER
C.ATTRIBUTECOMPLETENESS,unknown,STG.CUSTOMER,staging-stg,STG_Work_CustomerDedup,proc:STG.USP_DEDUPLICATECUSTOMER
C.ATTRIBUTECOMPLETENESS,unknown,WORK.CUSTOMERDEDUP,staging-work,STG_Work_CustomerDedup,proc:STG.USP_DEDUPLICATECUSTOMER
C.CUSTOMERBUSINESSKEY,unknown,FACT.SHIPMENT,dw-fact,FACT_Load_Shipment,proc:INTEGRATION.USP_LOADFACTSHIPMENT
C.CUSTOMERNAME,unknown,STG.CUSTOMER,staging-stg,STG_Load_Customer,proc:STG.USP_NORMALIZECUSTOMER
C.CUSTOMERNAME,unknown,STG.CUSTOMER,staging-stg,STG_Load_Employee,proc:STG.USP_NORMALIZECUSTOMER
C.CUSTOMERNAME,unknown,STG.CUSTOMER,staging-stg,STG_Load_PartnerSale,proc:STG.USP_NORMALIZECUSTOMER
C.LAST LOAD BATCH ID,unknown,DIMENSION.CUSTOMER,dw-dimension,DIM_Load_CustomerSegment,proc:INTEGRATION.USP_MIGRATESTAGEDCUSTOMERSEGMENTDATA
C.LAST LOAD BATCH ID,unknown,DIMENSION.CUSTOMER SEGMENT,dw-dimension,DIM_Load_CustomerSegment,proc:INTEGRATION.USP_MIGRATESTAGEDCUSTOMERSEGMENTDATA
C.LAST LOAD BATCH ID,unknown,ETL.REJECTEDRECORD,control-table,DIM_Load_CustomerSegment,proc:INTEGRATION.USP_MIGRATESTAGEDCUSTOMERSEGMENTDATA
C.LAST LOAD BATCH ID,unknown,INTEGRATION.DIMENSIONLOADAUDIT,sqlserver-dw,DIM_Load_CustomerSegment,proc:INTEGRATION.USP_MIGRATESTAGEDCUSTOMERSEGMENTDATA
C.MATCHKEYNAME,unknown,REF.SOURCEKEYCROSSWALK,reference,STG_Work_CustomerDedup,proc:STG.USP_DEDUPLICATECUSTOMER
C.MATCHKEYNAME,unknown,STG.CUSTOMER,staging-stg,STG_Work_CustomerDedup,proc:STG.USP_DEDUPLICATECUSTOMER
C.MATCHKEYNAME,unknown,WORK.CUSTOMERDEDUP,staging-work,STG_Work_CustomerDedup,proc:STG.USP_DEDUPLICATECUSTOMER
C.MATCHKEYPOSTAL,unknown,REF.SOURCEKEYCROSSWALK,reference,STG_Work_CustomerDedup,proc:STG.USP_DEDUPLICATECUSTOMER
C.MATCHKEYPOSTAL,unknown,STG.CUSTOMER,staging-stg,STG_Work_CustomerDedup,proc:STG.USP_DEDUPLICATECUSTOMER
C.MATCHKEYPOSTAL,unknown,WORK.CUSTOMERDEDUP,staging-work,STG_Work_CustomerDedup,proc:STG.USP_DEDUPLICATECUSTOMER
C.MATCHKEYTAXNUMBER,unknown,REF.SOURCEKEYCROSSWALK,reference,STG_Work_CustomerDedup,proc:STG.USP_DEDUPLICATECUSTOMER
C.MATCHKEYTAXNUMBER,unknown,STG.CUSTOMER,staging-stg,STG_Work_CustomerDedup,proc:STG.USP_DEDUPLICATECUSTOMER
C.MATCHKEYTAXNUMBER,unknown,WORK.CUSTOMERDEDUP,staging-work,STG_Work_CustomerDedup,proc:STG.USP_DEDUPLICATECUSTOMER
C.OVERLAPPERCENT,unknown,ERR.REJECTEDLOOKUPFAILURE,staging-err,STG_Load_PurchaseOrder,proc:WORK.USP_BUILDPRODUCTCROSSWALK
C.OVERLAPPERCENT,unknown,ERR.REJECTEDLOOKUPFAILURE,staging-err,STG_Work_ProductCrosswalk,proc:WORK.USP_BUILDPRODUCTCROSSWALK
C.OVERLAPPERCENT,unknown,WORK.PRODUCTCROSSWALK,staging-work,STG_Load_PurchaseOrder,proc:WORK.USP_BUILDPRODUCTCROSSWALK
C.OVERLAPPERCENT,unknown,WORK.PRODUCTCROSSWALK,staging-work,STG_Work_ProductCrosswalk,proc:WORK.USP_BUILDPRODUCTCROSSWALK
C.POSTALCODEREQUIREDFLAG,unknown,ERR.REJECTEDLOOKUPFAILURE,staging-err,STG_Load_Geography,proc:STG.USP_TRUNCATEANDRELOAD_GEOGRAPHY
C.POSTALCODEREQUIREDFLAG,unknown,STG.GEOGRAPHY,staging-stg,STG_Load_Geography,proc:STG.USP_TRUNCATEANDRELOAD_GEOGRAPHY
C.SCANEVENTCODE,unknown,ERR.REJECTEDSHIPMENT,staging-err,STG_Load_Shipment,proc:STG.USP_APPENDINCREMENTAL_SHIPMENT
C.SCANEVENTCODE,unknown,STG.SHIPMENT,staging-stg,STG_Load_Shipment,proc:STG.USP_APPENDINCREMENTAL_SHIPMENT
C.SCANEVENTCODE,unknown,STG.SHIPMENTLINE,staging-stg,STG_Load_Shipment,proc:STG.USP_APPENDINCREMENTAL_SHIPMENT
C.SOURCECUSTOMERID,unknown,REF.SOURCEKEYCROSSWALK,reference,STG_Work_CustomerDedup,proc:STG.USP_DEDUPLICATECUSTOMER
C.SOURCECUSTOMERID,unknown,STG.CUSTOMER,staging-stg,STG_Work_CustomerDedup,proc:STG.USP_DEDUPLICATECUSTOMER
C.SOURCECUSTOMERID,unknown,WORK.CUSTOMERDEDUP,staging-work,STG_Work_CustomerDedup,proc:STG.USP_DEDUPLICATECUSTOMER
C.SOURCEMODIFIEDDATE,unknown,REF.SOURCEKEYCROSSWALK,reference,STG_Work_CustomerDedup,proc:STG.USP_DEDUPLICATECUSTOMER
C.SOURCEMODIFIEDDATE,unknown,STG.CUSTOMER,staging-stg,STG_Work_CustomerDedup,proc:STG.USP_DEDUPLICATECUSTOMER
C.SOURCEMODIFIEDDATE,unknown,WORK.CUSTOMERDEDUP,staging-work,STG_Work_CustomerDedup,proc:STG.USP_DEDUPLICATECUSTOMER
C.SOURCERANK,unknown,REF.SOURCEKEYCROSSWALK,reference,STG_Work_CustomerDedup,proc:STG.USP_DEDUPLICATECUSTOMER
C.SOURCERANK,unknown,STG.CUSTOMER,staging-stg,STG_Work_CustomerDedup,proc:STG.USP_DEDUPLICATECUSTOMER
C.SOURCERANK,unknown,WORK.CUSTOMERDEDUP,staging-work,STG_Work_CustomerDedup,proc:STG.USP_DEDUPLICATECUSTOMER
C.SOURCESYSTEMCODE,unknown,REF.SOURCEKEYCROSSWALK,reference,STG_Work_CustomerDedup,proc:STG.USP_DEDUPLICATECUSTOMER
C.SOURCESYSTEMCODE,unknown,STG.CUSTOMER,staging-stg,STG_Work_CustomerDedup,proc:STG.USP_DEDUPLICATECUSTOMER
C.SOURCESYSTEMCODE,unknown,WORK.CUSTOMERDEDUP,staging-work,STG_Work_CustomerDedup,proc:STG.USP_DEDUPLICATECUSTOMER
C.STOCKITEMBUSINESSKEY,unknown,ERR.REJECTEDLOOKUPFAILURE,staging-err,STG_Load_PurchaseOrder,proc:WORK.USP_BUILDPRODUCTCROSSWALK
C.STOCKITEMBUSINESSKEY,unknown,ERR.REJECTEDLOOKUPFAILURE,staging-err,STG_Work_ProductCrosswalk,proc:WORK.USP_BUILDPRODUCTCROSSWALK
C.STOCKITEMBUSINESSKEY,unknown,WORK.PRODUCTCROSSWALK,staging-work,STG_Load_PurchaseOrder,proc:WORK.USP_BUILDPRODUCTCROSSWALK
C.STOCKITEMBUSINESSKEY,unknown,WORK.PRODUCTCROSSWALK,staging-work,STG_Work_ProductCrosswalk,proc:WORK.USP_BUILDPRODUCTCROSSWALK
CA.COUNTRYCODE,unknown,REF.SOURCEKEYCROSSWALK,reference,STG_Work_CustomerDedup,proc:STG.USP_DEDUPLICATECUSTOMER
CA.COUNTRYCODE,unknown,STG.CUSTOMER,staging-stg,STG_Work_CustomerDedup,proc:STG.USP_DEDUPLICATECUSTOMER
CA.COUNTRYCODE,unknown,WORK.CUSTOMERDEDUP,staging-work,STG_Work_CustomerDedup,proc:STG.USP_DEDUPLICATECUSTOMER
CUSTOMER360.CUSTOMERCHURNFLAG,unknown,CUSTOMER360.CUSTOMERSEGMENT,unknown,C360_Publish_Segments,direct
CUSTOMER360.CUSTOMERCHURNFLAG,unknown,WORK.CUSTOMERSEGMENT,sqlserver-staging,C360_Publish_Segments,direct
CUSTOMER360.CUSTOMERCHURNFLAG,unknown,WORK.CUSTOMERSEGMENTPREVIOUS,sqlserver-staging,C360_Publish_Segments,direct
CUSTOMER360.CUSTOMERPROFILE,unknown,CUSTOMER360.CUSTOMERSEGMENT,unknown,C360_Publish_Segments,direct
CUSTOMER360.CUSTOMERPROFILE,unknown,WORK.CUSTOMERSEGMENT,sqlserver-staging,C360_Publish_Segments,direct
CUSTOMER360.CUSTOMERPROFILE,unknown,WORK.CUSTOMERSEGMENTPREVIOUS,sqlserver-staging,C360_Publish_Segments,direct
CUSTOMER360.CUSTOMERROLLINGMETRIC,unknown,CUSTOMER360.CUSTOMERROLLINGMETRIC,unknown,C360_Build_RollingMetrics,direct
CUSTOMER360.CUSTOMERROLLINGMETRIC,unknown,CUSTOMER360.CUSTOMERSEGMENT,unknown,C360_Publish_Segments,direct
CUSTOMER360.CUSTOMERROLLINGMETRIC,unknown,WORK.CUSTOMERROLLINGMETRIC,sqlserver-staging,C360_Build_RollingMetrics,direct
CUSTOMER360.CUSTOMERROLLINGMETRIC,unknown,WORK.CUSTOMERSEGMENT,sqlserver-staging,C360_Publish_Segments,direct
CUSTOMER360.CUSTOMERROLLINGMETRIC,unknown,WORK.CUSTOMERSEGMENTPREVIOUS,sqlserver-staging,C360_Publish_Segments,direct
CUSTOMER360.LOYALTYOVERLAY,unknown,CUSTOMER360.CUSTOMERSEGMENT,unknown,C360_Publish_Segments,direct
CUSTOMER360.LOYALTYOVERLAY,unknown,WORK.CUSTOMERSEGMENT,sqlserver-staging,C360_Publish_Segments,direct
CUSTOMER360.LOYALTYOVERLAY,unknown,WORK.CUSTOMERSEGMENTPREVIOUS,sqlserver-staging,C360_Publish_Segments,direct
"DIMENSION.' + REPLACE(@DIMENSIONNAME, N'",sqlserver-dw,FACT.FACT LOAD HOLD,sqlserver-dw,DIM_Rekey_LateArriving,proc:INTEGRATION.USP_REKEYLATEARRIVINGDIMENSIONS
"DIMENSION.' + REPLACE(@DIMENSIONNAME, N'",sqlserver-dw,FACT.MOVEMENT,dw-fact,DIM_Rekey_LateArriving,proc:INTEGRATION.USP_REKEYLATEARRIVINGDIMENSIONS
"DIMENSION.' + REPLACE(@DIMENSIONNAME, N'",sqlserver-dw,FACT.PURCHASE,dw-fact,DIM_Rekey_LateArriving,proc:INTEGRATION.USP_REKEYLATEARRIVINGDIMENSIONS
"DIMENSION.' + REPLACE(@DIMENSIONNAME, N'",sqlserver-dw,FACT.SALE,dw-fact,DIM_Rekey_LateArriving,proc:INTEGRATION.USP_REKEYLATEARRIVINGDIMENSIONS
DIMENSION.CARRIER,dw-dimension,FACT.SHIPMENT,dw-fact,FACT_Load_Shipment,proc:INTEGRATION.USP_LOADFACTSHIPMENT
DIMENSION.CITY,dw-dimension,DIMENSION.CITY,dw-dimension,DIM_Load_City,direct
